bank_key,bank_name_clean,city,state_code
245670640632765,Williamsburg First National Bank,Kingstree,SC
184903272919734,Crescent Bank and Trust Company,Jasper,GA
9873170536615,Sterling Bank,Lantana,FL
10420295769025,"Mainstreet Savings Bank, FSB",Hastings,MI
182878814374390,Olde Cypress Community Bank,Clewiston,FL
127254869109545,Turnberry Bank,Aventura,FL
205913040998926,Metro Bank of Dade County,Miami,FL
53713680734778,First National Bank of the South,Spartanburg,SC
202766336580834,Woodlands Bank,Bluffton,SC
154533952309190,Home National Bank,Blackwell,OK
268863138427679,USA Bank,Port Chester,NY
163828026859590,Ideal Federal Savings Bank,Baltimore,MD
116110479370605,Bay National Bank,Baltimore,MD
20043689491391,High Desert State Bank,Albuquerque,NM
254363535222426,First National Bank,Savannah,GA
186272207623989,Peninsula Bank,Englewood,FL
61173132223866,Nevada Security Bank,Reno,NV
97257871958269,Washington First International Bank,Seattle,WA
261798338434470,TierOne Bank,Lincoln,NE
273051427692563,Arcola Homestead Savings Bank,Arcola,IL
142327522818662,First National Bank,Rosedale,MS
161811709899039,Sun West Bank,Las Vegas,NV
28862711488415,"Granite Community Bank, NA",Granite Bay,CA
200186536646358,Bank of Florida - Tampa,Tampa,FL
92652850098418,Bank of Florida - Southwest,Naples,FL
276557625667133,Bank of Florida - Southeast,Fort Lauderdale,FL
105834655443868,Pinehurst Bank,Saint Paul,MN
206286487847845,Midwest Bank and Trust Company,Elmwood Park,IL
134371198122525,Southwest Community Bank,Springfield,MO
114810403851076,New Liberty Bank,Plymouth,MI
149876601074224,Satilla Community Bank,Saint Marys,GA
99638775823347,1st Pacific Bank of California,San Diego,CA
29555152654340,Towne Bank of Arizona,Mesa,AZ
13462146452767,Access Bank,Champlin,MN
149843502661409,The Bank of Bonifay,Bonifay,FL
106511738445877,Frontier Bank,Everett,WA
51914326821277,BC National Banks,Butler,MO
157821841610716,Champion Bank,Creve Coeur,MO
9512199024180,CF Bancorp,Port Huron,MI
194133390959006,Westernbank Puerto Rico,Mayaguez,PR
191510162990747,R-G Premier Bank of Puerto Rico,Hato Rey,PR
88032346104498,Eurobank,San Juan,PR
154824771974767,Wheatland Bank,Naperville,IL
120836435144757,Peotone Bank and Trust Company,Peotone,IL
27036437426767,Lincoln Park Savings Bank,Chicago,IL
93323266532260,New Century Bank,Chicago,IL
2431034070940,Citizens Bank and Trust Company of Chicago,Chicago,IL
63546320109621,Broadway Bank,Chicago,IL
238270340235783,"Amcore Bank, National Association",Rockford,IL
278005572234327,City Bank,Lynnwood,WA
15386516020274,Tamalpais Bank,San Rafael,CA
56584399347217,Innovative Bank,Oakland,CA
26832769048553,Butler Bank,Lowell,MA
154534249321782,Riverside National Bank of Florida,Fort Pierce,FL
91728976693103,AmericanFirst Bank,Clermont,FL
262240776565653,First Federal Bank of North Florida,Palatka,FL
57383449516490,Lakeside Community Bank,Sterling Heights,MI
29242260072853,Beach First National Bank,Myrtle Beach,SC
249280806114797,Desert Hills Bank,Phoenix,AZ
22834967519952,Unity National Bank,Cartersville,GA
179732793494742,Key West Bank,Key West,FL
15359586741800,McIntosh Commercial Bank,Carrollton,GA
4678580834191,State Bank of Aurora,Aurora,MN
20809253261231,First Lowndes Bank,Fort Deposit,AL
207446189214539,Bank of Hiawassee,Hiawassee,GA
14434086267435,Appalachian Community Bank,Ellijay,GA
261991646040291,Advanta Bank Corp.,Draper,UT
261723654450727,Century Security Bank,Duluth,GA
222155575076618,American National Bank,Parma,OH
65955212934397,Statewide Bank,Covington,LA
248763243529824,Old Southern Bank,Orlando,FL
154010812581418,The Park Avenue Bank,New York,NY
94626975979211,LibertyPointe Bank,New York,NY
177316848934645,Centennial Bank,Ogden,UT
222961945388020,Waterfield Bank,Germantown,MD
20738171220596,Bank of Illinois,Normal,IL
203573794391319,Sun American Bank,Boca Raton,FL
137081433927901,Rainier Pacific Bank,Tacoma,WA
247821579662522,Carson River Community Bank,Carson City,NV
268589623670617,"La Jolla Bank, FSB",La Jolla,CA
36465358779524,George Washington Savings Bank,Orland Park,IL
143820648652276,The La Coste National Bank,La Coste,TX
44818147039660,Marco Community Bank,Marco Island,FL
82895207416442,1st American State Bank of Minnesota,Hancock,MN
226729026463675,American Marine Bank,Bainbridge Island,WA
166084696878431,First Regional Bank,Los Angeles,CA
217034207234454,Community Bank and Trust,Cornelia,GA
96675895983929,"Marshall Bank, N.A.",Hallock,MN
131206710186261,Florida Community Bank,Immokalee,FL
72387502455889,First National Bank of Georgia,Carrollton,GA
264695328408453,Columbia River Bank,The Dalles,OR
164113431340033,Evergreen Bank,Seattle,WA
112417995686574,Charter Bank,Santa Fe,NM
141272585644305,Bank of Leeton,Leeton,MO
189729884700424,Premier American Bank,Miami,FL
156862787797834,Barnes Banking Company,Kaysville,UT
229523889874081,St. Stephen State Bank,St. Stephen,MN
180190803356131,Town Community Bank & Trust,Antioch,IL
141808787960931,Horizon Bank,Bellingham,WA
161042026530454,"First Federal Bank of California, F.S.B.",Santa Monica,CA
63655711755874,Imperial Capital Bank,La Jolla,CA
115208446603850,Independent Bankers' Bank,Springfield,IL
64065699700191,New South Federal Savings Bank,Irondale,AL
72315007638828,Citizens State Bank,New Baltimore,MI
149363647502380,Peoples First Community Bank,Panama City,FL
114835126998637,RockBridge Commercial Bank,Atlanta,GA
93139209882434,SolutionsBank,Overland Park,KS
27103462287653,"Valley Capital Bank, N.A.",Mesa,AZ
229792448360424,"Republic Federal Bank, N.A.",Miami,FL
109601037211403,Greater Atlantic Bank,Reston,VA
7063480253288,Benchmark Bank,Aurora,IL
35189482321008,AmTrust Bank,Cleveland,OH
84978023591265,The Tattnall Bank,Reidsville,GA
116388433310019,First Security National Bank,Norcross,GA
146633412216900,The Buckhead Community Bank,Atlanta,GA
68915323638171,Commerce Bank of Southwest Florida,Fort Myers,FL
204305415308036,Pacific Coast National Bank,San Clemente,CA
57420005904649,Orion Bank,Naples,FL
124834069924910,"Century Bank, F.S.B.",Sarasota,FL
68530713773138,United Commercial Bank,San Francisco,CA
126510158852308,Gateway Bank of St. Louis,St. Louis,MO
263527392424577,Prosperan Bank,Oakdale,MN
116143320115107,Home Federal Savings Bank,Detroit,MI
65872862701981,United Security Bank,Sparta,GA
155698120098531,North Houston Bank,Houston,TX
44078438134671,Madisonville State Bank,Madisonville,TX
216909029193973,Citizens National Bank,Teague,TX
156551046434901,Park National Bank,Chicago,IL
238797748597800,Pacific National Bank,San Francisco,CA
129392555261601,California National Bank,Los Angeles,CA
250469847747037,San Diego National Bank,San Diego,CA
127378978050080,Community Bank of Lemont,Lemont,IL
243308575652324,"Bank USA, N.A.",Phoenix,AZ
159693513971134,First DuPage Bank,Westmont,IL
137279204024957,Riverview Community Bank,Otsego,MN
97936591423998,Bank of Elmwood,Racine,WI
267821050812453,Flagship National Bank,Bradenton,FL
100848752593459,Hillcrest Bank Florida,Naples,FL
173133111720008,American United Bank,Lawrenceville,GA
219354800883898,Partners Bank,Naples,FL
146315105419992,San Joaquin Bank,Bakersfield,CA
123530602116999,Southern Colorado National Bank,Pueblo,CO
57898351117325,Jennings State Bank,Spring Grove,MN
268532548975144,Warren Bank,Warren,MI
240973749502318,Georgian Bank,Atlanta,GA
265510444635009,"Irwin Union Bank, F.S.B.",Louisville,KY
76917116555422,Irwin Union Bank and Trust Company,Columbus,IN
258929858885765,Venture Bank,Lacey,WA
44728403665160,Brickwell Community Bank,Woodbury,MN
200751760051478,"Corus Bank, N.A.",Chicago,IL
219145324288163,First State Bank,Flagstaff,AZ
61145733311189,Platinum Community Bank,Rolling Meadows,IL
40286253920354,Vantus Bank,Sioux City,IA
217060601562169,InBank,Oak Forest,IL
97629340671656,First Bank of Kansas City,Kansas City,MO
214373113382390,Affinity Bank,Ventura,CA
36933576424157,Mainstreet Bank,Forest Lake,MN
10618937786763,Bradford Bank,Baltimore,MD
81579196812677,Guaranty Bank,Austin,TX
201377986987657,CapitalSouth Bank,Birmingham,AL
175090091377837,First Coweta Bank,Newnan,GA
197261491564276,ebank,Atlanta,GA
5885475120765,Community Bank of Nevada,Las Vegas,NV
247518864562190,Community Bank of Arizona,Phoenix,AZ
92811155498121,"Union Bank, National Association",Gilbert,AZ
39747055932175,Colonial Bank,Montgomery,AL
262860677046222,Dwelling House Savings and Loan Association,Pittsburgh,PA
237158187414337,Community First Bank,Prineville,OR
167173290433612,Community National Bank of Sarasota County,Venice,FL
65099086596141,First State Bank,Sarasota,FL
86996012070177,Mutual Bank,Harvey,IL
7220227832247,First BankAmericano,Elizabeth,NJ
260572647547099,Peoples Community Bank,West Chester,OH
195803162001161,Integrity Bank,Jupiter,FL
125094015293528,First State Bank of Altus,Altus,OK
55143845657847,Security Bank of Jones County,Gray,GA
268472663056528,Security Bank of Houston County,Perry,GA
23731954383464,Security Bank of Bibb County,Macon,GA
145333683190805,Security Bank of North Metro,Woodstock,GA
183953565136981,Security Bank of North Fulton,Alpharetta,GA
74870252653189,Security Bank of Gwinnett County,Suwanee,GA
22353885681323,Waterford Village Bank,Williamsville,NY
59323925185027,Temecula Valley Bank,Temecula,CA
31570399601532,Vineyard Bank,Rancho Cucamonga,CA
245894715839870,BankFirst,Sioux Falls,SD
46783994131005,First Piedmont Bank,Winder,GA
18376706509548,Bank of Wyoming,Thermopolis,WY
108546043490172,Founders Bank,Worth,IL
162678513840667,Millennium State Bank of Texas,Dallas,TX
125164946732019,First National Bank of Danville,Danville,IL
163775637583409,The Elizabeth State Bank,Elizabeth,IL
232113500613125,Rock River Bank,Oregon,IL
166656328014213,First State Bank of Winchester,Winchester,IL
77080367013033,John Warner Bank,Clinton,IL
167749452489610,Mirae Bank,Los Angeles,CA
11854276827561,MetroPacific Bank,Irvine,CA
31338076573337,Horizon Bank,Pine City,MN
81578168607473,Neighborhood Community Bank,Newnan,GA
149874217954229,Community Bank of West Georgia,Villa Rica,GA
107508969751642,First National Bank of Anthony,Anthony,KS
57745178750531,Cooperative Bank,Wilmington,NC
59925683740413,Southern Community Bank,Fayetteville,GA
149942458214632,Bank of Lincolnwood,Lincolnwood,IL
162734734133871,Citizens National Bank,Macomb,IL
146001243053424,Strategic Capital Bank,Champaign,IL
183584888426694,"BankUnited, FSB",Coral Gables,FL
49637726948451,Westsound Bank,Bremerton,WA
261714205197629,America West Bank,Layton,UT
91639234602748,Citizens Community Bank,Ridgewood,NJ
234247320305946,"Silverton Bank, NA",Atlanta,GA
179919190973004,First Bank of Idaho,Ketchum,ID
264494220666233,First Bank of Beverly Hills,Calabasas,CA
86270242771727,Michigan Heritage Bank,Farmington Hills,MI
238555393492719,American Southern Bank,Kennesaw,GA
76191120644447,Great Basin Bank of Nevada,Elko,NV
104594951083050,American Sterling Bank,Sugar Creek,MO
274939817162684,New Frontier Bank,Greeley,CO
155444954719330,Cape Fear Bank,Wilmington,NC
75139801798074,Omni National Bank,Atlanta,GA
162308544842831,"TeamBank, NA",Paola,KS
57622452367027,Colorado National Bank,Colorado Springs,CO
45558591552203,FirstCity Bank,Stockbridge,GA
128936865260017,Freedom Bank of Georgia,Commerce,GA
178467926258651,Security Savings Bank,Henderson,NV
249208689733942,Heritage Community Bank,Glenwood,IL
154794215937588,Silver Falls Bank,Silverton,OR
42083236388191,Pinnacle Bank of Oregon,Beaverton,OR
17927961239190,Corn Belt Bank & Trust Co.,Pittsfield,IL
97373673598350,Riverside Bank of the Gulf Coast,Cape Coral,FL
127099650237939,Sherman County Bank,Loup City,NE
188028463164001,County Bank,Merced,CA
71276897828374,Alliance Bank,Culver City,CA
272754390811552,FirstBank Financial Services,McDonough,GA
163360406760079,Ocala National Bank,Ocala,FL
207590909956781,Suburban FSB,Crofton,MD
110865420599696,MagnetBank,Salt Lake City,UT
255023763361996,1st Centennial Bank,Redlands,CA
246970701131586,Bank of Clark County,Vancouver,WA
46906086037230,National Bank of Commerce,Berkeley,IL
114042573527432,Sanderson State Bank,Sanderson,TX
194392549489721,Haven Trust Bank,Duluth,GA
162186776170222,First Georgia Community Bank,Jackson,GA
238167650132330,PFF Bank & Trust,Pomona,CA
235004729313580,Downey Savings & Loan,Newport Beach,CA
50908507927371,Community Bank,Loganville,GA
142378123838935,Security Pacific Bank,Los Angeles,CA
206381330513444,"Franklin Bank, SSB",Houston,TX
218460264502988,Freedom Bank,Bradenton,FL
279852520348327,Alpha Bank & Trust,Alpharetta,GA
263066742316754,Meridian Bank,Eldred,IL
230991021912118,Main Street Bank,Northville,MI
10439589497934,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV
209702733463034,Ameribank,Northfork,WV
115401512541974,Silver State Bank,Henderson,NV
228373211778573,Integrity Bank,Alpharetta,GA
67955935898059,Columbian Bank & Trust,Topeka,KS
10196833409931,First Priority Bank,Bradenton,FL
231697165256200,"First Heritage Bank, NA",Newport Beach,CA
22280445062955,First National Bank of Nevada,Reno,NV
259268383839957,IndyMac Bank,Pasadena,CA
85947512458761,"First Integrity Bank, NA",Staples,MN
74518316194651,"ANB Financial, NA",Bentonville,AR
146742555714040,Hume Bank,Hume,MO
228044796622934,Douglass National Bank,Kansas City,MO
80810904374405,Miami Valley Bank,Lakeview,OH
237365575619906,NetBank,Alpharetta,GA
256489033622382,Metropolitan Savings Bank,Pittsburgh,PA
238736209262804,Bank of Ephraim,Ephraim,UT
263629816112254,Reliance Bank,White Plains,NY
179212082536176,Guaranty National Bank of Tallahassee,Tallahassee,FL
185040066168257,Dollar Savings Bank,Newark,NJ
72603592760988,Pulaski Savings Bank,Philadelphia,PA
98189507826863,First National Bank of Blanchardville,Blanchardville,WI
189632070523009,Southern Pacific Bank,Torrance,CA
109361695997324,Farmers Bank of Cheneyville,Cheneyville,LA
124643416923948,Bank of Alamo,Alamo,TN
150064372608368,AmTrade International Bank,Atlanta,GA
69439981879940,Universal Federal Savings Bank,Chicago,IL
132731397697511,Connecticut Bank of Commerce,Stamford,CT
214530827575781,New Century Bank,Shelby Township,MI
149893600357703,Net 1st National Bank,Boca Raton,FL
52858719928452,"NextBank, NA",Phoenix,AZ
157656007223908,Oakwood Deposit Bank Co.,Oakwood,OH
155307724952985,Bank of Sierra Blanca,Sierra Blanca,TX
191193832962832,"Hamilton Bank, NA",Miami,FL
203852471551537,Sinclair National Bank,Gravette,AR
257861650734427,"Superior Bank, FSB",Hinsdale,IL
180606183013422,Malta National Bank,Malta,OH
66938316494047,First Alliance Bank & Trust Co.,Manchester,NH
35371171337566,National State Bank of Metropolis,Metropolis,IL
215371125770067,Bank of Honolulu,Honolulu,HI
